Enemy Name,Enemy #,Eat
Masked Man,1,I no can eat!
King Leo,2,I no can eat!
Zenero,3,I no can eat!
Benero,4,I no can eat!
Steiner,5,I no can eat!
Steiner,6,I no can eat!
Haagen,7,I no can eat!
Weimar,8,I no can eat!
Steiner,9,I no can eat!
Goblin,10,Goblin Punch
Fang,11,Taste Bad!
Prison Cage ,12,I no can eat!
Garnet,13,I no can eat!
Prison Cage ,14,I no can eat!
Vivi,15,I no can eat!
Baku,16,I no can eat!
Dendrobium,17,Taste Bad!
Plant Brain,18,I no can eat!
Plant Spider,19,Taste Bad!
Mu,20,I no can eat!
Python,21,Pumpkin Head
Flan,22,Taste Bad!
Cave Imp,23,Taste Bad!
Wyerd,24,Taste Bad!
Black Waltz 1,25,I no can eat!
Sealion,26,I no can eat!
Cave Spider,27,LV3 Def-less
Ghost,28,Roullette
Vice,29,Vanish
Black Waltz 2,30,I no can eat!
Black Waltz 3,31,I no can eat!
Trick Sparrow,32,Matra Magic
Fang,33,Nothing
Mu,34,I no can eat!
Zaghnol,35,I no can eat!
Bomb,36,Mustard Bomb
Axe  Beak,37,Limit Glove
Serpion,38,Mighty Guard
Ladybug,39,Pumpkin Head
Hedgehog Pie,40,Pumpkin Head
Clipper,41,Aqua Breath
Mandragora,42,Limit Glove
Ironite,43,Angel's Snack
Gigan Toad,44,Frog Drop
Gigan Toad,45,Frog Drop
Axolotl,46,Aqua Breath
Hornet,47,Vanish
Skeleton,48,Pumpkin Head
Type A,49,I no can eat!
Lamia,50,LV3 Def-less
Gizamaluke,51,I no can eat!
Lizard Man,52,LV3 Def-less
Yeti,53,I no can eat!
Nymph,54,Night
Basilisk,55,Pumpkin Head
Magic Vice,56,Magic Hammer
Mimic,57,I no can eat!
Beatrix,58,I no can eat!
Black Waltz 3,59,I no can eat!
Crawler,60,Taste Bad!
Dragonfly,61,Matra Magic
Ralvurahva,62,I no can eat!
Sand Scorpion,63,LV3 Def-less
Sand Golem,64,I no can eat!
Core,65,I no can eat!
Zuu,66,White Wind
Carrion Worm,67,Auto-Life
Antlion,68,I no can eat!
Soldier - Cleyra,69,I no can eat!
Type B,70,I no can eat!
Beatrix,71,I no can eat!
Soldier - Alexandria,72,I no can eat!
Tantarian,73,I no can eat!
Zorn,74,I no can eat!
Thorn,75,I no can eat!
Beatrix,76,I no can eat!
Bandersnatch,77,Pumpkin Head
Type C,78,I no can eat!
Ralvuimago,79,I no can eat!
Zaghnol,80,Matra Magic
Seeker Bat,81,Night
Armodullahan,82,I no can eat!
Lani,83,I no can eat!
Griffin,84,White Wind
Feather Circle,85,LV4 Holy
Abomination,86,Night
Cactuar,87,"1,000 Needles"
Goblin Mage,88,Goblin Punch
Sahagin,89,Aqua Breath
Myconid,90,Mighty Guard
Zemzelett,91,White Wind
Gnoll,92,Vanish
Ochu,93,LV3 Def-less
Troll,94,Vanish
Hilgigars,95,I no can eat!
Blazer Beetle,96,Limit Glove
Zombie,97,Roullette
Stroper,98,LV5 Death
Dracozombie,99,LV5 Death
Soulcage,100,I no can eat!
Scarlet Hair,101,I no can eat!
Mistodon,102,Angel's Snack
Gigan Octopus,103,Mighty Guard
Adamantoise,104,Earth Shake
Whale Zombie,105,LV5 Death
Grand Dragon,106,LV3 Def-less
Gimme Cat,107,Auto-Life
Anenome,108,Bad Breath
Land Worm,109,Matra Magic
Antlion,110,Mighty Guard
Ogre,111,Matra Magic
Grimlock,112,Night
Jabberwock,113,Limit Glove
Armstrong,114,Matra Magic
Catoblepas,115,Limit Glove
Ogre,116,Matra Magic
Epitaph,117,Angel's Snack
Zidaine (Mirror),118,I no can eat!
Vivi (Mirror),119,I no can eat!
Dagger (Mirror),120,I no can eat!
Steiner (Mirror),121,I no can eat!
Freya (Mirror),122,I no can eat!
Quina (Mirror),123,I no can eat!
Eiko (Mirror),124,I no can eat!
Amarant (Mirror),125,I no can eat!
Garuda,126,White Wind
Ark,127,I no can eat!
Torama,128,LV4 Holy
Drakan,129,Vanish
Valia Pira,130,I no can eat!
Vepal Green,131,Aqua Breath
Vepal Red,132,Mustard Bomb
Grenade,133,Mustard Bomb
Worm Hydra,134,Bad Breath
Wraith Blue Fire,135,Frost
Wraith Red Fire,136,Mustard Bomb
Red Dragon,137,Twister
Zorn,138,I no can eat!
Thorn,139,I no can eat!
Meltigemini,140,I no can eat!
Yan,141,Auto-Life
Amdusias,142,LV4 Holy
Veteran,143,Doom
Cerberus,144,Auto-Life
Agares,145,I no can eat!
Gargoyle,146,Mighty Guard
Tonberry,147,I no can eat!
Taharka,148,I no can eat!
Earth Guardian,149,Earth Shake
Ring Leader,150,Magic Hammer
Hecteyes,151,Roullette
Mover,152,I no can eat!
Amdusias,153,I no can eat!
Abadon,154,I no can eat!
Shell Dragon,155,I no can eat!
Malboro,156,Bad Breath
Shell Dragon,157,Earth Shake
Abadon,158,Twister
Silver Dragon,159,I no can eat!
Garland,160,I no can eat!
Kuija,161,I no can eat!
Mistodon,162,Angel's Snack
Ragtime Mouse,163,I no can eat!
TRUE,164,I no can eat!
FALSE,165,I no can eat!
Mu,166,I no can eat!
Ghost,167,I no can eat!
Ladybug,168,I no can eat!
Yeti,169,Pumpkin Head
