Chocograph ,,Chocobo Needed,Rewards,,Chocobo Colors and Abilities Explained,,,,Chocograph Locations,
1,Streamside,Yellow,"2x Elixer, 4x Hi-Potion, 4x Ether, 2x Germinas Boots",,Colors,Ability,Description,,,
2,Between Mountains,Yellow,"5x Potions, 5x Hi-Potions, 2x Tents, 2x Cotton Robes",,Yellow,None,Can run across plains and forests,,,
3,Uncultivated Lands,Red ,"10x Antidotes, 1x Jade Armlet, 3x Wing Edge, 1x Cargo Ship Card",,Light Blue,Reef,Can walk on Shallow Water offshore,,,
4,Healing Shore,Yellow,Reef Ability,,Red,Mountain,Can run across mountains and ridges,,,
5,Abandoned Beach,Yellow,"9x Phoenix Pinion, 5x Phoenix Down, 12x Peridot, 1x Diamond Gloves",,Dark Blue,Sea,Can swim across any part of the ocean,,,
6,Cold Field,Light Blue,"7x Echo Screen, 7x High Potion, 3x Tent, 1x Theater Ship Card",,Gold,Sky,Can lift off or land in any forest area,,,
7,Forgotten Lagoon,Light Blue,"8x Gyshal Greens, 5x Ether, 7x Hi-Potion, 1x Dragon's Claws",,,,,,,
8,Faraway Lagoon,Light Blue,"37x Potion, 6x Magic Tag, 1x Shield Armor, 1x Gaia Gear",,Chocobo Beach Locations,,,,,Chocobo's Air Garden 
9,Abandoned Lagoon,Light Blue,"6x Soft, 4x Ether, 1x Feather Boots, 1x N-Kai Armlet",,,,,,,
10,Bird's-Eye Lagoon,Light Blue,"8x Potion, 4x Phoenix Down, 3x Ether, 1x Magician Robe",,,,,,,
11,Small Beach,Light Blue,"4x Remedy, 2x Elixir, 8x Rising Sun, 1x Oak Staff",,,,,,,
12,Dawn Lagoon,Light Blue,Mountain Ability,,,,,,,
13,Forbidden Forest,Red,"7x Ether, 2x Elixir, 10x Wing Edge, 1x High Mage Staff",,,,,,,
14,Green Plains,Red,Ocean Ability,,,,,,,
15,Dusk Plains,Red,"12x Phoenix Down, 14x Ore, 1x Kaiser Knuckles, 1x Iron Man Card",,,,,,,
16,Forgotten Plains,Red,"17x Ore, 5x Ether, 14x Opal, 1x Demon's Mail",,,,,,,
17,Sea at Dusk,Dark Blue,"15x Phoenix Pinion, 1x White Robe, 1x Diamond, 1x Masamune Card",,,,,,,
18,Ocean,Dark Blue,"27x Ore, 1x Light Robe, 1x Whale Whisker, 1x Alexander Card",,,,,,,
19,Cold Lagoon,Dark Blue,"11x Peridot, 9x Opal, 15x Sapphire, 19x Topaz",,,,,,,
20,Mist Ocean,Dark Blue,Sky Ability,,,,,,,
21,Outer Island,Gold,"21x Amethyst, 16x Garnet+, 1x Genji Armor, 1x Ragnarok",,,,,,,
22,Outer Island 2 ,Gold,"11x Sapphire, 1x Circlet, 1x Pumice Piece, 1x Hilda Garde III Card",,,,,,,
23,Fairy Island,Gold,"33x Potion, 15x Annoyntment, 1x Holy Matter, 1x Dark Matter Card",,,,,,,
24,Forgotten Island,Gold,"1x Ribbon, 1x Rebirth Ring, 13x Amethyst, 1x Ark Card",,,,,,,
