Disc,Sender,Location,Recipient,Location,Rewards Kupo Nut
1,Kupo,Alexandria Steeple,Monty,Evil Forest,No
1,Mois,Ice Caverns,Gumo,Dali,No
1,Kumop,Dali Underground,Mogki,Lindblum Grand Castle Guest Bedroom,No
1,Mogki,Lindblum Grand Castle Guest Bedroom,Atla,Burmecia,Yes
1,Grimo,Bohden Gate,Nazna,Summit Station,No
1,Atla,Burmecia,Monev,Cleyra Trunk,Yes
2,Nazna,Summit Station,Mochos,Gargan Roo,No
2,Mopli,Cleyra Settlement,Serino,Red Rose,No
2,Serino,Red Rose,Moodon,Lindblum Inn,No
2,Mosh,Alexandria Castle,Monty,Pinnacle Rocks,No
2,Moodon,Lindblum Inn,Moonte,Lindblum Dragon's Gate,Yes
2,Kuppo,Fossil Roo,Kupo,Alexandria Steeple,Yes
2,Mogmatt,Conde Petie,Suzuna ,Conde Petie Mountain Path,No
2,Mogryo,BMV,Mocchi,Iifa Tree,No
3,Mogki,Lindblum Castle,Moodon,Lindblum Inn,Yes
3,Mimoza,Oeilvert Exterior,Mooel,Oeilvert Interior,Yes
3,Mojito,Desert Palace Hourglass Room,Mogsam,Desert Palace Libraray,Yes
3,Mogrika,Esto Gaza,Moolan,"Mount Gulug, Middle Level, Right fork",Yes
3,Moolan,"Mount Gulug, Middle Level, Right Fork",Mogrika,"Mount Gulug, Middle Level, Left fork",Yes
3,Mogki,Lindblum Castle,Kumool,Ipsen's Castle,Yes
3,Moorock,Bran Bal,Mozme,Pandemonium Upper Level,Yes
4,Kupo,Alexandria Steeple,Atla,Burmecia,Yes
4,Atla,Burmecia,Mogryo,BMV,Yes
4,Mogryo,BMV,Kumool,Ipsen's Castle,Yes
4,Kumool,Ipsen's Castle,Mois,"Fossil Roo Entrance, Quina must be in party",Yes
4,Mois,"Fossil Roo Entrance, Quina must be in party",Noggy,Daguerreo,Yes
4,Noggy,Daguerreo,Kupo,Alexandria Steeple,Yes
