Item,"First
Available",Special Conditions,Repeatable?,Price
Reflect Ring,Disc 2,None,No,"15,000"
Magician Robe,Disc 2,None,Yes,"7,700"
Fairy Earrings,Disc 2,None,Yes,"9,500"
Madain's Ring,Disc 2,None,Yes,"8,700"
Pearl Rouge,Disc 2,None,Yes,"17,100"
Elixir,Disc 2,Must have less than 5 in inventory,Yes,"36,000"
Feather Boots,Disc 3,Must have none in inventory,Yes,"15,000"
Anklet,Disc 3,Must have none in inventory,Yes,"17,000"
Dark Matter,Disc 3,None,No,"16,600"
Promist Ring,After Card Tournament,Must have none in inventory,Yes,"24,500"
Thief Gloves,After Card Tournament,None,No,"19,900"
Ribbon,Disc 4,None,No,"80,000"
Griffin's Heart,Disc 2,Must have none in inventory,Yes,"6,100"
Doga's Artifact,Disc 2,Must have none in inventory,Yes,"10,000"
Une's Mirror,Disc 2,Must have none in inventory,Yes,"14,400"
Mini-Cid,Disc 2,None,No,"1,600"
Rat Tail,Disc 3,Must have none in inventory,Yes,"15,500"
Magical Fingertip,Disc 4,"Must have started Magical Fingertip sidequest and sold Griffin's Artifact, Doga's Artifact, Une's Mirror, and Rat Tail to nobles in Treno",No,"40,000"
,,,,
Key Items,,,,
You can sell a number of the key items listed above to different citizens around Treno.,,,,
,,,,
"You can sell Doga’s Artifact to the Scholar in the Synthesis Shop. You can purchase it for around 9,000 gil, and you can sell it for 10,000 on the Scholar’s first offer. The Scholar will not pay any other price.",,,,
,,,,
"You can sell Une’s Mirror to the Nobleman just outside the Synthesis Shop. You can usually purchase it for around 11,000 gil, and you can sell it for 12,000 gil on the first offer or 15,000 gil on the second offer.",,,,
,,,,
"You can sell the Rat Tail to the Adventurer, who is also just outside the Synthesis Shop. The Rat Tail is normally purchased for around 17,000 gil and can be sold to the Adventurer for 20,000 gil on the first offer or 25,000 gil on the second offer.",,,,
,,,,
"You can sell the Griffin’s Heart to the same Adventurer. You can purchase it for around 6,000 gil, and you can sell it for 8,000 gil on first offer or 10,000 gil.",,,,
